"Protein","x"
"Q2R3A1","osa01100 osa01110 osa00941 osa04712"
"Q2R480","osa01100 osa01110 osa01200 osa00480 osa00030"
"Q2R483","osa01100 osa00270"
"Q2R4A1","osa03010"
"Q2RAP0","osa01100 osa01110 osa00053"
"Q2RBM4","osa04120"
"Q2RBN7","osa04144"
"Q2RBP5","osa04141 osa04145 osa03060"
"Q336P5","osa04016 osa04075"
"Q336V3","osa01100 osa01110 osa00906"
"Q337E9","osa01100 osa01200 osa00710 osa00620"
"Q337Y2","osa00902"
"Q338N8","osa01100 osa01200 osa01230 osa00710 osa00250 osa01210 osa00220"
"Q338Z4","osa00750"
"Q33AF5","osa01100 osa00190 osa04145"
"Q33BE1","osa03040"
"Q40677","osa01100 osa01110 osa01200 osa01230 osa00010 osa00710 osa00030 osa00051"
"Q53JG0","osa04130"
"Q53JI9","osa01100 osa01110 osa00500"
"Q53NG8","osa01100 osa01110 osa00010 osa00620 osa00053 osa00071 osa00561 osa00280 osa00380 osa00410 osa00340 osa00330 osa00310 osa00903"
"Q53NM9","osa04141 osa03040 osa04144"
"Q53QG1","osa03060"
"Q53RM0","osa01100 osa01110 osa00860"
"Q5JK10","osa01100 osa01110 osa01200 osa01230 osa00030"
"Q5JK18","osa01100 osa01110 osa01230 osa00270 osa00260 osa01210 osa00300 osa00261"
"Q5JK35","osa01100 osa01110 osa00500 osa00940 osa00460"
"Q5JK84","osa03040 osa03013 osa03015"
"Q5JKZ9","osa01100 osa00052 osa00600 osa00511"
"Q5JLP6","osa01100 osa01200"
"Q5JMS4","osa01100 osa01110 osa00940"
"Q5JNB0","osa01100 osa01110 osa01200 osa01230 osa00270 osa00920"
"Q5JNF1","osa04146"
"Q5KQI2","osa01100 osa00190"
"Q5N725","osa01100 osa01110 osa01200 osa01230 osa00010 osa00710 osa00030 osa00051"
"Q5N760","osa00520"
"Q5N7L5","osa00970 osa00670"
"Q5N821","osa01100 osa01110 osa00230"
"Q5N842","osa03060"
"Q5N8G1","osa01100 osa01110 osa00900"
