"Protein","x"
"P19878","hsa04145 hsa05418 hsa04670 hsa04380 hsa05140"
"P20618","hsa03050"
"P20851","hsa04610 hsa05133"
"P21333","hsa04510 hsa05205 hsa04010 hsa05132"
"P21359","hsa04010 hsa04014 hsa01521"
"P22732","hsa04973"
"P23141","hsa00983"
"P23229","hsa04510 hsa04810 hsa05165 hsa05200 hsa04151 hsa04512 hsa05145 hsa05222 hsa05412 hsa05410 hsa05414 hsa04640 hsa04514"
"P23588","hsa04151 hsa05205 hsa03013 hsa04150"
"P23786","hsa04714 hsa03320 hsa01212 hsa00071"
"P23921","hsa01100 hsa00230 hsa00480 hsa00240 hsa00983"
"P24821","hsa04510 hsa05165 hsa04151 hsa05206 hsa04512"
"P25205","hsa04110 hsa03030"
"P25325","hsa01100 hsa00270 hsa00920 hsa04122"
"P25705","hsa01100 hsa05016 hsa04714 hsa05010 hsa00190 hsa05012"
"P25787","hsa03050"
"P26038","hsa04810 hsa04530 hsa05205 hsa04670 hsa05162"
"P26640","hsa00970"
"P27708","hsa01100 hsa00250 hsa00240"
"P27797","hsa04141 hsa04145 hsa05169 hsa05170 hsa05166 hsa05163 hsa05142 hsa05168 hsa04612"
"P27824","hsa04141 hsa04145 hsa05166 hsa04918 hsa04612"
"P28288","hsa04146 hsa02010"
"P28340","hsa03030 hsa03420 hsa03430 hsa03440 hsa03410"
"P28482","hsa04510 hsa04810 hsa05165 hsa05200 hsa04151 hsa05130 hsa05131 hsa05205 hsa04611 hsa05206 hsa05152 hsa05203 hsa04010 hsa05170 hsa05166 hsa04015 hsa04910 hsa05133 hsa04014 hsa05163 hsa04915 hsa04210 hsa04150 hsa04068 hsa04666 hsa05132 hsa04022 hsa05142 hsa04919 hsa04114 hsa05020 hsa05167 hsa04625 hsa05145 hsa04066 hsa05010 hsa05164 hsa05135 hsa05215 hsa04371 hsa04360 hsa04914 hsa04935 hsa04072 hsa04071 hsa04062 hsa04660 hsa04520 hsa05225 hsa04933 hsa04921 hsa05230 hsa04621 hsa04140 hsa04270 hsa04218 hsa04380 hsa05160 hsa01524 hsa05161 hsa04024 hsa04662 hsa04012 hsa01521 hsa05235 hsa05226 hsa04722 hsa04657 hsa04540 hsa04926 hsa05214 hsa05210 hsa04668 hsa04620 hsa04659 hsa01522 hsa05221 hsa05034 hsa04928 hsa05212 hsa04370 hsa04664 hsa04930 hsa05223 hsa04917 hsa05231 hsa04720 hsa05224 hsa05213 hsa04650 hsa04929 hsa05220 hsa04261 hsa05211 hsa04550 hsa04730 hsa04724 hsa04723 hsa04658 hsa05140 hsa04726 hsa04912 hsa04725 hsa04916 hsa05218 hsa04934 hsa04350 hsa05219 hsa04713 hsa05216 hsa04960"
"P28838","hsa01100 hsa00330 hsa00480"
"P29083","hsa05203 hsa03022"
"P29317","hsa04151 hsa04010 hsa04015 hsa04014 hsa04360"
"P30038","hsa01100 hsa00330 hsa00250"
"P30101","hsa04141 hsa05169 hsa05170 hsa05163 hsa05168 hsa04612"
"P30153","hsa05165 hsa04151 hsa04530 hsa04152 hsa05142 hsa04114 hsa04071 hsa05160 hsa03015 hsa04728 hsa04261 hsa04390 hsa04730 hsa04350"
"P30520","hsa01100 hsa00230 hsa00250"
"P30622","hsa04150"
"P30876","hsa05016 hsa03020"
"P31153","hsa01100 hsa01230 hsa00270"
"P31689","hsa04141"
"P32004","hsa04360 hsa04514"
"P33176","hsa04144 hsa04728"
"P33981","hsa04110"
"P34059","hsa01100 hsa04142 hsa00531"
"P34913","hsa01100 hsa04146 hsa00590"
"P34932","hsa04530 hsa04612"
"P35237","hsa05146"
"P35241","hsa04810 hsa04530 hsa05205 hsa05206"
"P35249","hsa03030 hsa03420 hsa03430"
"P35251","hsa03030 hsa03420 hsa03430"
"P35269","hsa03022"
"P35527","hsa05150 hsa04915"
"P35579","hsa04810 hsa04530 hsa05130"
"P35580","hsa04810 hsa04530 hsa05130"
"P35749","hsa04530 hsa05130 hsa04270"
"P35858","hsa04935"
"P36543","hsa01100 hsa05165 hsa04145 hsa04150 hsa05110 hsa00190 hsa04721 hsa05120 hsa04966 hsa05323"
"P36955","hsa04310"
"P36959","hsa01100 hsa00230"
"P37108","hsa03060"
"P38606","hsa01100 hsa05165 hsa04145 hsa04150 hsa05110 hsa00190 hsa04721 hsa05120 hsa04966 hsa05323"
"P38646","hsa05152 hsa03018"
"P38919","hsa03013 hsa03040 hsa03015"
"P39023","hsa03010"
"P39060","hsa04974"
"P40692","hsa05200 hsa01524 hsa05226 hsa05210 hsa05213 hsa03430 hsa03460"
"P40926","hsa01100 hsa01200 hsa00270 hsa00020 hsa00620 hsa00630"
"P40939","hsa01100 hsa01200 hsa01212 hsa00640 hsa00071 hsa00280 hsa00380 hsa00410 hsa00310 hsa00062 hsa00650"
"P41226","hsa04120 hsa05012"
"P41250","hsa00970"
"P41252","hsa00970"
"P42224","hsa05165 hsa05200 hsa05169 hsa05152 hsa05168 hsa04919 hsa05167 hsa04625 hsa05145 hsa05164 hsa04935 hsa04062 hsa04933 hsa04621 hsa04380 hsa05160 hsa04217 hsa05161 hsa05235 hsa04620 hsa04659 hsa05212 hsa04917 hsa05162 hsa04630 hsa04658 hsa05140 hsa05321"
"P42345","hsa05165 hsa05200 hsa04151 hsa05131 hsa05205 hsa05206 hsa05170 hsa04152 hsa04910 hsa05163 hsa04150 hsa04714 hsa05168 hsa04919 hsa05167 hsa04066 hsa05215 hsa04371 hsa04935 hsa04072 hsa04931 hsa05225 hsa05230 hsa04140 hsa04218 hsa04012 hsa01521 hsa05235 hsa04213 hsa05226 hsa04211 hsa05214 hsa05210 hsa04659 hsa01522 hsa05221 hsa05212 hsa04920 hsa04930 hsa05231 hsa05224 hsa04630 hsa04136"
"P42684","hsa04014 hsa04012 hsa05416"
"P42858","hsa05016"
"P46459","hsa04721 hsa04962 hsa04727"
"P46934","hsa04530 hsa04144 hsa04120 hsa05169"
"P48454","hsa05152 hsa04010 hsa05170 hsa05166 hsa05163 hsa04922 hsa04022 hsa04114 hsa05167 hsa04625 hsa05010 hsa04360 hsa04660 hsa04921 hsa04218 hsa04380 hsa04662 hsa05235 hsa04020 hsa04728 hsa04659 hsa04370 hsa04720 hsa04310 hsa04650 hsa04924 hsa04724 hsa04658 hsa05014 hsa05031"
"P48506","hsa01100 hsa00270 hsa00480 hsa04216"
"P48735","hsa01100 hsa01200 hsa01230 hsa04146 hsa00020 hsa00480 hsa01210"
"P49327","hsa01100 hsa04152 hsa04910 hsa01212 hsa00061"
