"Protein","x"
"Q6PIE5","mmu04022 mmu04024 mmu04260 mmu04261 mmu04911 mmu04918 mmu04919 mmu04960 mmu04961 mmu04964 mmu04970 mmu04971 mmu04972 mmu04973 mmu04974 mmu04976 mmu04978"
"Q6PIC6","mmu04022 mmu04024 mmu04260 mmu04261 mmu04911 mmu04918 mmu04919 mmu04960 mmu04961 mmu04964 mmu04970 mmu04971 mmu04972 mmu04973 mmu04974 mmu04976 mmu04978"
"Q9WV27","mmu04022 mmu04024 mmu04260 mmu04261 mmu04911 mmu04918 mmu04919 mmu04960 mmu04961 mmu04964 mmu04970 mmu04971 mmu04972 mmu04973 mmu04974 mmu04976 mmu04978"
"P14094","mmu04022 mmu04024 mmu04260 mmu04261 mmu04911 mmu04918 mmu04919 mmu04960 mmu04961 mmu04964 mmu04970 mmu04971 mmu04972 mmu04973 mmu04974 mmu04976 mmu04978"
"P14231","mmu04022 mmu04024 mmu04260 mmu04261 mmu04911 mmu04918 mmu04919 mmu04960 mmu04961 mmu04964 mmu04970 mmu04971 mmu04972 mmu04973 mmu04974 mmu04976 mmu04978"
"P97370","mmu04022 mmu04024 mmu04260 mmu04261 mmu04911 mmu04918 mmu04919 mmu04960 mmu04961 mmu04964 mmu04970 mmu04971 mmu04972 mmu04973 mmu04974 mmu04976 mmu04978"
"Q8BMG1","mmu03460"
"Q9JLZ3","mmu00280 mmu01100"
"Q9JJW6","mmu03013 mmu03015 mmu03040 mmu05168"
"O08583","mmu03013 mmu03015 mmu03040 mmu05168"
"P04627","mmu04012 mmu04068 mmu04270 mmu04650 mmu04720 mmu04726 mmu04730 mmu04810 mmu04910 mmu04914 mmu05034 mmu05160 mmu05200 mmu05205 mmu05210 mmu05211 mmu05212 mmu05213 mmu05214 mmu05215 mmu05218 mmu05219 mmu05220 mmu05221 mmu05223"
"Q8K2K6","mmu05164"
"Q8BXK8","mmu04144"
"Q3UHD9","mmu04068 mmu04144"
"Q8VHH5","mmu04144"
"Q4LDD4","mmu04144"
"Q8BZ05","mmu04144"
"Q8R5G7","mmu04015 mmu04024 mmu04144"
"Q7SIG6","mmu04144 mmu04666"
"Q5U464","mmu04144 mmu04666"
"Q9QWY8","mmu04144 mmu04666"
"Q8K2H4","mmu04144"
"Q6ZQK5","mmu04144"
"Q9Z0H7","mmu04064 mmu04660 mmu04662 mmu05152"
"Q07440","mmu04064 mmu05202"
"P10417","mmu04064 mmu04066 mmu04071 mmu04141 mmu04151 mmu04210 mmu04261 mmu04510 mmu04722 mmu04725 mmu05014 mmu05145 mmu05152 mmu05161 mmu05169 mmu05200 mmu05206 mmu05210 mmu05215 mmu05222"
"Q9Z2F6","mmu04668"
"P41183","mmu04068 mmu05202"
"Q9QUN3","mmu04064 mmu04380 mmu04662 mmu05340"
"Q61335","mmu04141"
"P62325","mmu03018"
"Q04211","mmu03018"
"P50615","mmu03018"
"O70552","mmu03018"
"Q80TT2","mmu05202"
"Q99ML1","mmu04115 mmu04390 mmu05016 mmu05162"
"Q91ZE9","mmu05206"
"O08734","mmu04141 mmu05203 mmu05206"
"Q07813","mmu04071 mmu04115 mmu04141 mmu04210 mmu04722 mmu04932 mmu05014 mmu05016 mmu05020 mmu05152 mmu05161 mmu05166 mmu05200 mmu05203 mmu05210"
"Q61337","mmu04012 mmu04014 mmu04022 mmu04024 mmu04151 mmu04210 mmu04370 mmu04510 mmu04722 mmu04910 mmu04919 mmu05010 mmu05014 mmu05145 mmu05152 mmu05160 mmu05161 mmu05200 mmu05203 mmu05210 mmu05212 mmu05213 mmu05215 mmu05218 mmu05220 mmu05221 mmu05223"
"Q60739","mmu04141"
"Q91YN9","mmu04141"
"Q8CI61","mmu04668"
"Q64373","mmu04014 mmu04064 mmu04151 mmu04210 mmu04630 mmu05014 mmu05145 mmu05166 mmu05200 mmu05202 mmu05212 mmu05220 mmu05222"
"O54918","mmu04068 mmu04151 mmu04932 mmu05206"
"P59017","mmu05134"
"P70345","mmu05206"
"Q6QD59","mmu04130"
"O55003","mmu04068 mmu05134"
"P70444","mmu04071 mmu04115 mmu04210 mmu04650 mmu04932 mmu05010 mmu05014 mmu05152 mmu05200 mmu05416"
"Q9D0L6","mmu04310 mmu04350"
"Q91Z96","mmu05202"
"Q99MP8","mmu04014"
"Q5SXJ3","mmu03460"
"Q91VR8","mmu04810"
"O08901","mmu04110 mmu04114 mmu04914"
"Q9Z1S0","mmu04110 mmu05166"
"Q9WVA3","mmu04110 mmu05166"
"O35153","mmu04130"
"O35623","mmu04130"
"O88700","mmu03440 mmu03460"
"P25916","mmu04550 mmu05202 mmu05206"
"P28028","mmu04010 mmu04012 mmu04015 mmu04024 mmu04062 mmu04068 mmu04150 mmu04270 mmu04510 mmu04650 mmu04720 mmu04722 mmu04726 mmu04730 mmu04810 mmu04910 mmu04914 mmu05034 mmu05160 mmu05200 mmu05205 mmu05210 mmu05211 mmu05212 mmu05213 mmu05214 mmu05215 mmu05216 mmu05218 mmu05219 mmu05220 mmu05221 mmu05223"
"P35991","mmu04064 mmu04380 mmu04611 mmu04662 mmu04664 mmu05340"
"O88712","mmu04310 mmu04330 mmu05200 mmu05220"
"P56546","mmu04310 mmu04330 mmu05200 mmu05220"
